property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,image_url,breadcrumbs,description
Bayut - IRE-00331,For Rent,Apartment,21 May 2024,,"{""currency"":""AED"",""amount"":""85,000""}","Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""1 Bath"",""size"":""613 sqft""}",,Abbas Haider Khan,https://images.bayut.com/thumbnails/703470066-800x600.jpeg,Dubai Apartments > Sobha Hartland > Sobha Creek Vistas > Sobha Creek Vistas Tower B > Bayut - IRE-00331,"Innova  Real Estate is proud to Presenting this unfurnished one-bedroom apartment Sobha Creek Vistas. it showcases a generous layout complemented by a spacious place. Sami furnished and ready to move, this residence offers comfort and convenienceProperty details: 1 bedroom1 Study Room Chiller Free24 Hour Security1 Bathroom Lobby in the Building CCTV SecuredHotel LobbyAMENITIES: Swimming Pool Kids Swimming Pool Kids Playing AreaNear SchoolReady to move-in SaunaSteamGymnasium High Quality Neighborhood PlacesDowntown 10 minRas al Khor 7 minMeydan Race Course 5 minAl Khail Road 3 minSheikh Zayad Road 7 minAir Port 15 minFor More Details Call now View Contact Detail"
Bayut - Malik kashif ........,For Rent,Apartment,28 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""75,000""}","Building 88, Arjan, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""2 Baths"",""size"":""900 sqft""}",,Kashif Shabir,https://images.bayut.com/thumbnails/728793992-800x600.jpeg,Dubai Apartments > Arjan > Building 88 > Bayut - Malik kashif ........,"ABOUT ARJANArjan is a new district within Dubailand, situated on the outskirts of Dubai. The community is bordered by AlBarsha South towards the northland Sheikh Mohammed BinZayed Road towards the south. Further down south there is Dubai Motor City – home to Dubai Auto dome. Arjan is popular for having two of the most visited parks in Dubai: Dubai Miracle Garden and Dubai Butterfly Garden. Property wise the community of Arjan has several apartments for sale and rent. ________Property details:Price: 52,000 (AED)Number of Cheques: 1 to 4_________Property FacilitiesThese are some Apartment Features Open Plan Living Areas, Spacious Bedrooms, Great Sized Yard or A Balcony and A Secured Underground Parking With Storage And Additional Storeroom. • Modern Bedroom• Semi close Kitchen• Balcony• Modern Bath Room• Parking Space• Swimming Pool• Gymnasium• 24/7 Security• Sunny Windows• City Skyline Views• Air Conditioning• Internal Laundry• Newly Built Property• Lavish FinishingLocation Is Very Accessible To The Following:•5 Min drive to Al Barsha City Center•24 Min drive to Dragon Mart•8 Min drive to Dubai Sports City•8 Min Drive to JLT & Marina•6 Min Drive to Dubai Internet City•21 Min drive to Dubai Mall•18 Min drive to Al Khail MallWho We Are?• RERA Licensed Organization Established by Professionalism, Integrity, Accountability And Quality Service Giving You The Most Profitable Quick Sale/Rental Solutions Today. Register Your Dubai Properties with us Today And Take Advantage Of Our Professional Property Services. We Think Through What People Want And Look At What Others Fail To Give. Contact Detail:Call:View Contact DetailWhat’s App:View Contact Detail"
Bayut - LP002733,For Rent,Penthouse,15 May 2024,Furnished,"{""currency"":""AED"",""amount"":""860,000""}","BLVD Heights Tower 1, BLVD Heights, Downtown Dubai, Dubai","{""bedrooms"":""4 Beds"",""bathrooms"":""5 Baths"",""size"":""4,638 sqft""}",,Michaela Holesinska,https://images.bayut.com/thumbnails/720111084-800x600.jpeg,Dubai Penthouses > Downtown Dubai > BLVD Heights > BLVD Heights Tower 1 > Bayut - LP002733,"Now available for rent, this spectacular 4-bedroom luxury penthouse in the heart of Dubai Downtown offers terraces with unrivaled views of the Burj Khalifa. The unit is fully furnished and features high-end finishes and designer furniture throughout. Its open layout showcases tall ceilings and floods the space with natural light. The kitchen is fully equipped with premium appliances and elegant granite countertops, making it ideal for hosting dinner parties. The spacious terrace provides stunning views of the Burj Khalifa and the city's skyline. The opulent master suite includes a walk-in closet and a spa-like en-suite bathroom, while the other bedrooms also come with their own en-suite bathrooms. Residents of this prestigious five-star residence will have access to 24-hour concierge and security services, as well as luxurious amenities such as a state-of-the-art fitness center, a pristine swimming pool, and comfortable lounge areas. Located in Dubai Downtown, the penthouse offers easy access to high-end shopping, exquisite dining, and top-notch entertainment. Don't miss this opportunity to live in luxury in one of the world's most vibrant cities. Contact us now to arrange an exclusive viewing."
Bayut - RO-R-21-1991,For Rent,Apartment,23 May 2024,Furnished,"{""currency"":""AED"",""amount"":""90,000""}","Mag 218 Tower, Dubai Marina, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""2 Baths"",""size"":""898 sqft""}",,Khushi Verma,https://images.bayut.com/thumbnails/706446826-800x600.jpeg,Dubai Apartments > Dubai Marina > Mag 218 Tower > Bayut - RO-R-21-1991,"Rocky Real Estate is pleased to offer this Marina View Apartment in Dubai Marina. * Built-up Area: 898.03 square feet* Equipped Kitchen* Marina View* On-high floor* Built-in wardrobes* Vacant unit* 1 Allotted ParkingReference number: RO-RView Contact DetailMag 218 Tower is a residential skyscraper in Dubai Marina. The 66-storey tower has 555 modern residential units in 1 and 2-bedroom configurations. Rising 232 metres above the ground, Mag 218, Dubai Marina has seven parking levels, three technical floors and a floor dedicated to the community area and health club. For inquiries and exclusive viewing, call Jitesh Jeswani (BRN#47188) at View Contact Detail or email us at Send e-mail We are happy to assist you from 9 am to 6 pm (Monday to Friday), and from 9 am to 2 pm (Saturday). Rocky Real Estate offers residential and commercial real estate services in Dubai since 1976 | Specializing in sales, leasing, property investments, and management | 2017 Top 10 Real Estate Consultants in the Arab World by Forbes Middle EastView more properties at www. rockyrealestate. com"
Bayut - UDA-10696-SSl6Ti,For Rent,Apartment,23 May 2024,Unfurnished,"{""currency"":""AED"",""amount"":""71,999""}","PG Upper House, Al Furjan, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""2 Baths"",""size"":""845 sqft""}",,Bashir Ibrahim,https://images.bayut.com/thumbnails/706564661-800x600.jpeg,Dubai Apartments > Al Furjan > PG Upper House > Bayut - UDA-10696-SSl6Ti,"Welcome to a place that invites you to grow and flourish in a community filled with like-minded people. A neighborhood where every convenience and luxury you need can be found right on your doorstep. Expect a warm welcome home in sophisticated surroundings in the PG Upper House lobby area. Our 24-hour security team are on hand to assist you at every hour of every day. The open-concept lounge and dining space is perfect for both entertaining and relaxing thanks to its stylishly neutral palette, chic yet comfortable furniture and an abundance of natural light. Life is all about balance. At PG Upper House, you can nurture your heath and wellbeing from within the in-house gymnasium and swimming pool. Focus fully on your health, far from the 9-5, with the latest equipment and facilities at your disposal. Project Highlights:24-hour front desk attendant Near Metro Near Shopping MallSwimming poolFully-equipped gymnasiumYoga SalaCCTVFire alarm and firefighting systemAccess control systemCentral air conditioningProperties Exchange Real Estate is a licensed firm engaged in residential & investment real estate and property management. We are a highly qualified firm that offers full-service real estate brokerage serving in the UAE. We specialize in providing professional real estate services for residential and commercial buyers and sellers"
Bayut - 5312-zljZ7w,For Rent,Apartment,16 May 2024,Furnished,"{""currency"":""AED"",""amount"":""179,999""}","Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai","{""bedrooms"":""3 Beds"",""bathrooms"":""3 Baths"",""size"":""1,746 sqft""}",,Sara Askari,https://images.bayut.com/thumbnails/698878836-800x600.jpeg,Dubai Apartments > Business Bay > DAMAC Towers by Paramount Hotels and Resorts > Tower D > Bayut - 5312-zljZ7w,"Seven Century Real Estate is proud to present this spacious 3 Bedroom apartment is available for rent. Located in Damac Towers By Paramount D, Business Bay this 1,746 SQFT apartment is perfect for families who seek a cozy and comfortable place to live in. The building also facilitates a state of the art gymnasium and a chilled swimming pool. Property Details:- 3 Bedroom- 3 Bathroom- Size: 1,746 SQFT As per the Title Deed- With Wardrobes- Modern Finishing- Fully Furnished- With Kitchen Appliances- Balcony- Covered Parking- Vacant & Ready To Move InPrice Details:- Renting Price: AED 179,999/-- Security Deposit: 10%For further details or to arrange a viewing appointment, Please contact Ms. Sara Askari - Property Consultant View Contact Detail. Visit the seven century real estate where you will find an extensive selection of properties available both for sale and for rent. seven-century Real Estate also provides Holiday Homes, Property Management and Facility Management services too. Buyers, Sellers, and Tenants can reach us anytime. Thank you for Choosing seven-century Real Estate!"
Bayut - axc-3977129,For Rent,Apartment,17 May 2024,Furnished,"{""currency"":""AED"",""amount"":""198,000""}","Oceana Pacific, Oceana, Palm Jumeirah, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""2 Baths"",""size"":""1,338 sqft""}",,Igor Kavka,https://images.bayut.com/thumbnails/699891656-800x600.jpeg,Dubai Apartments > Palm Jumeirah > Oceana > Oceana Pacific > Bayut - axc-3977129,"AX CAPITAL Real Estate is pleased to present this amazing fresh to market property in Oceana Pacific, Palm Jumeirah. The apartment is located on a high floor and has a large balcony with stunning views of the Dubai Marina skyline. The apartment is fully furnished, equipped with built-in white goods, and finished with a built-in closet, wooden flooring in the bedroom, cabinets, and finishes. High ceilings and floor-to-ceiling windows provide plenty of natural light during the day. The Interior is tastefully put together, with generous use of space. PROPERTY DETAILS - Size: 1,338.17 sq. ft. - 1 Bedroom ,fully Furnished- Huge Living Room- Full Panoramic Sea And Marina View- High-Quality Finishing- 1 Dedicated Parking Space- Beach Access | Swimming Pool I Gym I Security- Visitor Parking- Reference No. axcView Contact DetailOceana is a gated beachfront complex of seven individual buildings on the trunk of Palm Jumeirah. Oceana Pacific is a 13-storey residential building. The Building boasts amenities such as separate children’s pool and play area, beach access with sun loungers and umbrellas provided, temperature controlled infinity swimming pool, and a state-of-the-art gymnasium. The Oceana apartments are within walking distance of Nakheel Mall. AX CAPITAL was built upon a desire to create a real estate agency of the modern era where the customer is central to everything we do. With our values clearly defined, we are committed to continuously evolving as a real estate agency and it is this passion and dedication that marks the foundation of AX CAPITAL and makes us different. Explore Our Services: - AX MANAGEMENT- AX DESIGN- AX CORPORATE"
Bayut - 102164-MBbyPG,For Rent,Apartment,13 May 2024,Unfurnished,"{""currency"":""AED"",""amount"":""50,000""}","Siena 2, Siena, Tuscan Residence, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""848 sqft""}",,Tabish Shaikh,https://images.bayut.com/thumbnails/728403768-800x600.jpeg,Dubai Apartments > Jumeirah Village Circle (JVC) > JVC District 10 > Tuscan Residence > Siena > Siena 2 > Bayut - 102164-MBbyPG,"House & Hedges Real Estate is pleased to offer this Studio Apartment in Siena 2, Tuscan Residences Jumeirah Village Circle, Dubai. Siena 2 JVC is a low-rise building in Jumeirah Village Circle, a family-oriented neighbourhood known for its quality accommodation, landscaped gardens and excellent communal facilities. The tower is a part of Tuscan Residences, an apartment complex consisting of six buildings: Florence 1 and 2, Siena 1 and 2 and Arezzo 1 and 2. PROPERTY DETAILS:- Studio Apartment- 1 Bathroom- Area 848sqft. - Unfurnished- Built in Wardrobe- Shared Pool- Shared Gym- Covered Parking- Pets Allowed- Kids Play AreaPRICE DETAILS:AED 50,000/-CHEQUES: 4House and Hedges Real Estate, where your dream home journey begins. Our dedicated team is committed to turning your real estate aspirations into reality. Experience personalized service, unmatched expertise, and a seamless path to finding the perfect place to call home.  For more details or to schedule a viewing, please contact our dedicated team member Mr. Tabish ShaikhWe're eager to assist you on your journey to finding your dream home. Thank you for choosing House & Hedges Real Estate."
Bayut - NH0003,For Rent,Apartment,10 May 2024,Unfurnished,"{""currency"":""AED"",""amount"":""131,999""}","Tiara East Tower, Tiara United Towers, Business Bay, Dubai","{""bedrooms"":""2 Beds"",""bathrooms"":""3 Baths"",""size"":""1,375 sqft""}",,Navjot Singh,https://images.bayut.com/thumbnails/692867058-800x600.jpeg,Dubai Apartments > Business Bay > Tiara United Towers > Tiara East Tower > Bayut - NH0003,"HIghline Real Estate, is pleased to present this chiller free 2BR apartment in Tiara East Tower, Business Bay. Unit Features:* 2 Bedroom* Balcony* Built-in Wardrobe* Fully fitted kitchen* 4 Cheques Payment* Open Kitchen* Chiller free* 1 Allocated Parking* Canal viewAmenities: * Swimming Pool* Gym* BBQ* Central Gas* SMATV* Near by metro* 24/7 CCTV and SecurityTiara United Towers constitutes two towers in Business Bay with G+47 floors -East Tower and West Tower , featuring spacious, luxurious apartments equipped with kitchen appliances.  Business Bay is a major commercial and residential district offering a wide variety of housing and commercial real estate properties in proximity to business centres such as Downtown Dubai, DIFC, and Al Quoz. The area is appealing to families due to the availability of spacious units within a well-developed community with diverse shopping (The Dubai Mall, City Walk, dar wasl, Executive Towers), entertainment and dining options. ♣Highline Real EstateContact Us - View Contact DetailEmail: Send e-mailOffice Registration No: 27373RERA Broker ID: 69436Call us now for more information about this property today and be assisted by a specialist!"
Bayut - JVC-HR-SIGLIVZ-STD,For Rent,Apartment,10 May 2024,Furnished,"{""currency"":""AED"",""amount"":""58,000""}","Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""399 sqft""}",,Haider Abbasi,https://images.bayut.com/thumbnails/692788805-800x600.jpeg,Dubai Apartments > Jumeirah Village Circle (JVC) > JVC District 10 > Signature Livings > Signature Livings South > Bayut - JVC-HR-SIGLIVZ-STD,"Azco Real Estate is delighted to present this cozy Studio Apartment in Signature Livings South, Jumeirah Village Circle. The property is spread over 399 sq. ft. and it boasts an impeccable modern finishing. PROPERTY FEATURES AND AMENITIES:- Studio- 1 Bathroom- Furnished- Front View- Fitted kitchen- Well Maintained Unit- Built-in Wardrobes- Balcony- Central A/C- Pets Allowed- Covered Parking- Modern Gymnasium- Swimming Pool- 24/7 Security- Children's Play Area- Communal Gardens- Shopping Mall- Restaurants- Shops- Public Transportation- ParksPRICE DETAILS:- Price: AED 58,000 /-- Cheques: 4- Security Deposit: 10 %* Vacating date is on 9th of June. Signature Livings provides a high-end sustainable living, a development is at best that merges simplicity with a high degree of innovation. Built to the highest- standards and strikes the right balance in terms of design and sustainability. For further details or to arrange a viewing appointment please contact Haider Abbasi - Property Consultant. Thank you for Choosing Azco Real Estate!"
